2019-02-19	6.0	DSI - DSAPI testing and Queue controlling	199
2019-02-20	6.0	DSI - DSAPI myDBID rewrite	199
2019-02-21	5.0	DSI - DSAPI cleanup	199
2019-02-22			199
2019-02-23			199
2019-02-24			199
2019-02-25			199
2019-02-26	6.0	DSI - White paper on redacting	199
2019-02-27	4.5	DSI - Whitepaper on Redaction	199
2019-02-28	5.5	DSI - Whitepaper - Managed DSI	199
2019-03-01			200
2019-03-02			200
2019-03-03			200
2019-03-04			200
2019-03-05	6.5	DSI - Meeting Bob, Chris, Publisher Testing	200
2019-03-06	6.5	DSI - Publisher Timeout	200
2019-03-07	6.0	DSI - Heartbeat in Pika to Rabbitmq not working	200
2019-03-08			200
2019-03-09			200
2019-03-10			200
2019-03-11			200
2019-03-12	0.0	Holiday	200
2019-03-13	0.0	Holiday	200
2019-03-14	0.0	Holiday	200
2019-03-15			200
2019-03-16			200
2019-03-17			200
2019-03-18			200
2019-03-19	5.5	DSI - hotel testing	200
2019-03-20	6.0	DSI - Virtual Servers	200
2019-03-21	5.0	DSI - Speed testing on Virtual Servers	200
2019-03-22			200
2019-03-23			200
2019-03-24			200
2019-03-25			200
2019-03-26	6.0	DSI - Virtual Server, Publisher maintain Connection	200
2019-03-27	6.0	DSI – Publisher Testing	200
2019-03-28	5.5	DSI - Virtual Server Speed Test	200
2019-03-29			200
2019-03-30			200
2019-03-31			200
2019-04-01			201
2019-04-02	5.5	DSI - Dissusion refining subscriptions	201
2019-04-03	6.5	DSI - Debug rabbitmq server - Reboot fix	201
2019-04-04			201
2019-04-05	5.5	DSI - White paper reviews	201
2019-04-06			201
2019-04-07			201
2019-04-08			201
2019-04-09	6.5	DSI - PandS testing and white-paper 	201
2019-04-10	5.5	DSI - Quality Assurance	201
2019-04-11	4.0	DSI – Subscriber Starting missing messages	201
2019-04-12			201
2019-04-13			201
2019-04-14			201
2019-04-15			201
2019-04-16	4.0	DSI – Subscriber	201
2019-04-17		Jaravinski	201
2019-04-18		Jaravinski	201
2019-04-19			201
2019-04-20			201
2019-04-21			201
2019-04-22			201
2019-04-23		Jaravinski	201
2019-04-24	5.5	DSI - Docker with Bob	201
2019-04-25		Jaravinski	201
2019-04-26			201
2019-04-27			201
2019-04-28			201
2019-04-29			201
2019-04-30	2.5	DSI - Docker	201
